Symptom,Variation,Patient Description
diminished hearing,3,"“It’s just… lately, I’ve been having a real struggle hearing people, especially in a crowd. Like, I catch snippets of conversations, but I have to really lean in and sometimes I still miss what they’re saying entirely. It’s gotten pretty frustrating.”"
diminished hearing,4,"“It’s just… lately, I’ve been having a real struggle hearing people, especially in crowded rooms. Like, I can follow conversations, but I have to really concentrate and sometimes I still miss things they’re saying. It’s frustrating, you know? Like things are just fading away.”"
lump in throat,1,"“It’s just… a feeling. Like something’s always sitting there, you know? When I swallow, it just feels like there’s a lump in my throat. It’s not painful, just… persistent. It’s been getting worse over the last couple of weeks.”"
lump in throat,2,"“It’s just… this weird feeling in my throat, you know? Like something’s always there, a sort of pressure. It’s not painful, exactly, but it’s really unsettling. It’s especially noticeable when I swallow, and sometimes it just… lingers.”"
lump in throat,3,"“It’s just… a feeling, really. Like something’s stuck back there. When I swallow, it feels like there’s this… pressure. And sometimes, like a blockage, you know? It goes away for a little while and then it comes back.”"
lump in throat,4,"“It’s just…a feeling. Like something’s always there, kind of stuck. When I swallow, it feels like a little bit of something’s just…blocked. It’s not painful, exactly, but it’s really unsettling.”"
throat feels tight,1,"“It’s just… my throat feels tight, you know? Like something’s pressing down on it. It comes and goes, mostly when I’m stressed, but it’s been happening even when I’m just relaxing.”"
throat feels tight,2,"“It’s just… really hard to swallow sometimes. Like my throat feels tight, almost like something’s stuck there, and it gets worse when I try to talk.”"
throat feels tight,3,"“It’s just… like something’s pressing on the back of my throat. It feels really constricted, hard to swallow sometimes, and it’s kind of making me feel anxious.”"
throat feels tight,4,"“It’s just… really hard to swallow sometimes. Like there’s this pressure in my throat, a tightness, especially when I try to eat or drink anything warm.”"
difficulty in swallowing,1,"“It’s just… getting harder to eat, you know? Food gets stuck sometimes, and it feels like there’s a lump in my throat. It’s not constant, but it’s been happening more and more lately, especially with solid foods.”"
difficulty in swallowing,2,"“It’s just… getting harder and harder to eat. Food gets stuck sometimes, and it feels like there’s a lump in my throat even when there isn’t. It’s really worrying me.”"
difficulty in swallowing,3,"“It’s just… getting harder to go down. Food mostly, but sometimes even liquids. It feels like there’s a blockage, a sort of struggle when I try to swallow. It’s worrying me, to be honest.”"
difficulty in swallowing,4,"“It’s just… getting harder to manage my meals, you know? Food feels like it’s sticking, and I have to really chew everything extra carefully. Sometimes I just can’t get it down without feeling really panicked.”"
skin swelling,1,"“It’s just… this weirdness on my leg. It started as a little redness, but now it’s really puffy, like it’s swelling up. It’s itchy too, and it feels warm to the touch.”"
skin swelling,2,"“It’s just… this weirdness on my leg. It started as just a little redness, but now it’s really puffy, like it’s swelling up. It’s uncomfortable and it feels warm to the touch.”"
skin swelling,3,"“It’s just… puffy. Mostly around my face, especially my cheeks and jawline. It comes and goes, but it’s been really noticeable the last few days, like a constant swelling.”"
skin swelling,4,"“It’s just… my face feels so puffy sometimes. Like, it’s hard to see straight, and my cheeks get really swollen, especially in the mornings. It’s not constant, but when it happens, it’s really uncomfortable.”"
retention of urine,1,"“It’s just… I can’t seem to completely empty my bladder when I go. I’ve got this feeling like I’m still holding some in afterward, even after I’ve been to the bathroom a few times.”"
retention of urine,2,"“It’s just… it’s really hard to go. Like, I have to really push, and it takes ages, and I often feel like I haven’t emptied properly afterwards. It’s been happening for about a week now, and it’s getting more and more uncomfortable.”"
retention of urine,3,"“It’s just… really hard to go. Like, I have to strain so much that I get really uncomfortable, and sometimes it just won’t release at all. It’s been happening for about a week now, and it’s getting worse.”"
retention of urine,4,"“It’s just… really hard to go. Like, I’ve been straining for ages and I can’t seem to get it out at all. And then when I finally do, it’s just a dribble, barely anything comes out.”"
groin mass,1,"“It’s just… this lump. It’s in my groin, and it’s gotten bigger over the last few weeks. It’s not painful, but it’s definitely there, and it feels a bit… odd. Like, not quite normal.”"
groin mass,2,"“It’s just… this weird lump. It’s down here, in my groin, and it’s been getting bigger, I think. It’s not painful, really, just… there. Like something’s pressing against my leg.”"
groin mass,3,"“It’s… it’s gotten bigger lately. Down here, you know? It feels kind of hard, and it’s starting to feel a bit uncomfortable when I move.”"
groin mass,4,"“It’s… it’s kind of a hard lump down there. It wasn’t really noticeable at first, but it’s gotten bigger, and it feels… different. Like, sometimes it’s tender, sometimes not. It’s just… uncomfortable.”"
leg pain,1,"“It’s just… this aching in my left leg. It started a couple of weeks ago, just a little twinge after I’d been walking, but it’s gotten progressively worse. It’s mostly in my calf, and it gets really sharp if I stand for too long.”"
leg pain,2,"It’s just… a really insistent ache in my left leg. Like a constant throb, mostly in the calf, but sometimes it shoots up higher. It’s worse after I’ve been standing for a while, and it’s been getting progressively worse over the last couple of weeks."
leg pain,3,"It’s just…a heavy ache, mostly in my thigh. It comes and goes, and it’s particularly bad after I’ve been on my feet for a while."
leg pain,4,"“It’s just… a sort of ache, really. Mostly in my left leg, especially after I’ve been standing for a while. It feels like a deep throb, and sometimes it shoots up a little bit when I move my foot.”"
hip pain,1,"“It’s just… this pain in my hip. It started a few weeks ago after I was gardening, and it’s gotten progressively worse. It’s a dull ache mostly, but it flares up when I walk for more than about ten minutes.”"
hip pain,2,"“It’s just… a really persistent ache in my hip. It’s worse when I’ve been walking for a while, or if I’ve been standing for too long. Doesn’t really come and go, just kind of hangs around.”"
hip pain,3,"“It’s just… a real ache in my hip. Like a constant throb, especially when I’ve been walking around much or if I’ve been sitting for a long time. It doesn’t really come and go, just this dullness that’s been there for a few weeks now.”"
hip pain,4,"“It’s just… this awful ache in my hip. It’s mostly when I’m walking for more than about ten minutes, and it gets worse if I’m going uphill. It feels like something’s catching, and it’s really stiff afterwards.”"
suprapubic pain,1,"“It’s just…down there. Like a constant ache, especially when I’m sitting. It’s really uncomfortable, and it feels like it’s coming from right beneath my belly button.”"
suprapubic pain,2,"“It’s just… this really sharp pain right around here, where my stomach button is. It comes and goes, but when I walk or stand for a long time, it gets much worse. Like a constant, nagging ache.”"
suprapubic pain,3,"“It’s just…down there. Like a constant ache, particularly when I’m sitting. It’s hard to describe, but it’s a really sharp, stabbing feeling sometimes, and it’s gotten worse lately.”"
suprapubic pain,4,"“It’s just…down there. Like a constant ache, especially when I’m sitting. It feels really sharp sometimes, like a pulling sensation. It’s gotten worse over the last few weeks, and it’s making it hard to just, you know, sit comfortably.”"
blood in stool,1,"“It’s just…it’s been happening intermittently, but lately it’s been more frequent. I’ve noticed some bright red streaks in my stool, like when you squeeze a little color out of a marker. It’s really worrying me, and I don’t know what to do.”"
blood in stool,2,"“It’s been happening intermittently, really, but the last couple of times it’s been more noticeable. There’s… well, there’s blood in my stool. Just a little bit, usually, but it’s concerning me.”"
blood in stool,3,"“It’s just… there’s this, like, little streaks of red in my stool. It’s not constant, but I’ve noticed it a couple of times over the last week. It’s worrying me, to be honest.”"
blood in stool,4,"“It’s just… it’s been a little weird lately. I’ve been seeing some red in my stool, like a streak. It’s not constant, but I’ve noticed it a few times over the last week or so. It’s kind of alarming, to be honest.”"
lack of growth,1,"“It’s just… I haven’t grown at all in the last five years, not really. I was a pretty tall kid, and now I’m just…stuck. It’s worrying me, to be honest.”"
lack of growth,2,"“It’s just… I haven’t gotten taller in years. I was hoping I’d have at least a few more inches by now, you know? Everyone else in my family shot up, and I just… haven’t.”"
lack of growth,3,"“It’s just… it feels like I’m just not getting any bigger. I haven’t grown at all in the last couple of years, and everyone else my age seems to be taller. It’s worrying me, honestly.”"
lack of growth,4,"“It’s just… it’s like I’m stuck. I haven’t gotten taller in years, not really. Everyone around me is still growing, and I just… I’m not.”"
emotional symptoms,1,"“Honestly, it just… feels like everything is too much lately. Like, bright lights bother me, loud noises really get to me, and I’m just constantly on edge. It’s not just physical, though. There’s this overwhelming sadness, and I find myself crying for no reason. It’s really hard to explain, but I just feel completely drained and hopeless.”"
emotional symptoms,2,"“It’s just… everything feels so heavy lately. Like there’s this constant grey cloud hanging over me, and I just can’t shake it off. I’m finding it really hard to enjoy things I used to, and I’ve been crying a lot, just… unexpectedly. It’s impacting my work and my relationships, and I just feel so utterly drained.”"
emotional symptoms,3,"“Honestly, it’s just…everything feels so heavy. Like there’s this gray cloud hanging over me, and I can’t seem to shake it off. I’m constantly irritable, snapping at people over the smallest things, and just…down. It’s affecting my sleep, my appetite, everything. I just feel…lost, you know?”"
emotional symptoms,4,"“It’s just… everything feels so heavy lately. Like I’m wading through mud, you know? I keep having these moments where I just… shut down. And then I’m crashing afterward, feeling completely drained and overwhelmed by these intense, dark feelings. It’s hard to explain, but I just don’t feel like myself.”"
elbow weakness,1,"“It’s just… my elbow. It’s getting really, really hard to straighten out. Like, I can kind of do it, but it’s this awful, grinding sensation, and it feels like it’s just giving way sometimes. It’s particularly bad in the mornings.”"
elbow weakness,2,"“It’s just… my elbow feels really weak, you know? Like, if I try to lift something, or even just reach for a glass, it just sort of gives way. It’s not a constant thing, but it happens quite a bit lately, especially in the mornings.”"
elbow weakness,3,"“It’s just… when I try to lift things, like reaching for a pen or helping my grandson with his toys, my arm just feels… heavy. And my elbow, especially, it just doesn’t have the strength it used to.”"
elbow weakness,4,"“It’s just… my arm. It feels like it’s giving way sometimes, especially when I’m trying to reach for things or climb the stairs. Like there’s not much strength there, you know? It’s getting a little concerning.”"
back weakness,1,"“It’s just… lately, when I try to lift anything heavier than a grocery bag, my back just feels like it’s giving way. Like there’s no strength there at all.”"
back weakness,2,"“It’s just… getting harder to lift things, you know? Like, I used to be able to easily carry the groceries from the car, but lately I’ve been really struggling. It feels like my back just… gives way.”"
back weakness,3,"“It’s just… getting harder to lift things. Like, I can manage groceries, but if I try to pick up the kids’ toys, my back just feels like it’s giving way, you know? It’s like there’s a hollowness there, a lack of strength.”"
back weakness,4,"“It’s just… lately, when I try to lift anything, even just a grocery bag, I feel like my legs are going to give way. Like there’s not much strength there at all. It’s really worrying me.”"
pus in sputum,1,"“It’s just… this cough. It started a couple of weeks ago, and it’s gotten worse. And there’s this stuff coming up when I cough – it’s yellowish, kind of thick, and… well, it looks like there’s pus in sputum.”"
pus in sputum,2,"“It’s just… this cough has been awful. It started with a tickle, but now it’s really bad, and I’m coughing up this thick, yellowish stuff. There’s actually a bit of… well, it looks like pus in sputum, and it’s really worrying me.”"
pus in sputum,3,"“It’s just… this thick stuff I’ve been coughing up. It’s really yellowish and has, like, little bits in it. Honestly, it looks like it’s coming from somewhere deep down.”"
pus in sputum,4,"“It’s just… this thick stuff I’ve been coughing up, especially in the mornings. It’s yellowish and kind of gooey, and there’s this… this little bit of white coming with it. It’s really annoying, and it smells awful.”"
symptoms of the scrotum and testes,1,"“It’s just… it’s gotten really uncomfortable down there. Like a constant ache, mostly on one side, but it feels… sensitive. And there’s this weird swelling, almost like a hard lump, in my scrotum and testes. It’s not painful unless I move around a lot, but it’s just persistent and worrying me.”"
symptoms of the scrotum and testes,2,"“It started about a week ago, just a dull ache really, but it’s gotten worse. Now there’s this… this feeling of sensitivity and pressure down there, and I’ve noticed a bit of swelling too. And honestly, the symptoms of the scrotum and testes – it’s like they’re just constantly irritated, almost prickly sometimes.”"
symptoms of the scrotum and testes,3,"“It’s just… this weird discomfort down there. It started a couple of weeks ago, just a dull ache, but it’s gotten worse. I’ve noticed some swelling in my scrotum and testes, and it feels really sensitive to the touch. Like, even just a light brush against it is painful.”"
symptoms of the scrotum and testes,4,"“It’s just… something’s been really bothering me down there. It started a couple of weeks ago, just a dull ache, but it’s gotten worse. I’ve got this swelling and a really uncomfortable feeling, and I’ve noticed some tenderness in the balls themselves. It’s hard to describe, like a constant pressure and pulling sensation, especially when I’m sitting or lying down.”"
swelling of scrotum,1,"“It’s just…this swelling of my scrotum. It came on really suddenly, like over a couple of days. It’s not painful, not really, but it’s just…there. It feels kind of tight, and it's definitely bigger than it should be.”"
swelling of scrotum,2,"“It’s just…this weird heaviness down there. It’s been getting worse over the last couple of weeks, and there’s this definite swelling of the scrotum. It feels tight, and sometimes it’s really painful when I move.”"
swelling of scrotum,3,"“It’s just…this area here, it’s gotten really puffy. Like, noticeably swollen. It started a couple of weeks ago and it’s just not going down, you know? It’s uncomfortable, and I’m a little worried.”"
swelling of scrotum,4,"“It’s just… this area here, you know? It’s gotten really puffy, especially in the mornings. Feels like there’s this constant, dull ache too, and it’s gotten noticeably bigger recently.”"
pain in testicles,1,"“It’s… it’s a dull ache, mostly. Like a constant pressure down there. It’s gotten worse over the last few days, and it’s starting to feel a bit sharp sometimes, especially when I move.”"
pain in testicles,2,"“It’s just… this weird ache down there. Like a dull throbbing, mostly on the left side. It comes and goes, and sometimes it feels really sensitive to touch.”"
pain in testicles,3,"“It’s just… this weird ache down there. Like a dull throbbing, mostly on the left side. It comes and goes, and sometimes it feels really sensitive to touch.”"
pain in testicles,4,"“It’s just… this weird ache down there. Like a dull throb, mostly on the right side. It comes and goes, but it’s been more persistent lately, especially after I’ve been walking.”"
flatulence,1,"“It’s…it’s gotten really bad lately. I’ve been passing gas constantly, like, all the time. It’s embarrassing, and it’s just not normal for me. It’s not just a little bit, it’s a lot, and sometimes it smells really strong.”"
flatulence,2,"“It’s just… really embarrassing, honestly. I’ve been passing gas constantly, like, all day long. It’s not just a little toot, it’s… a lot. And it smells really bad, too.”"
flatulence,3,"“It’s just… really embarrassing, honestly. I’ve been getting these, like, loud noises coming from my stomach, especially after I eat. And… well, there’s a lot of gas, too. It’s disruptive, and I feel self-conscious about it.”"
flatulence,4,"“It’s just… really embarrassing, honestly. I’ve been having this awful gassiness, like, constantly. It’s not just little breezes, it’s like a full-blown rumble, and it happens after almost every meal. It’s really disruptive, especially when I’m out with friends.”"
pus draining from ear,1,"“It started about a week ago, just a little itch, and then this… this yellow stuff started coming out of my ear. It’s actually draining, you know? Like, there’s a little bit of a stream, and it smells awful.”"
pus draining from ear,2,"“It started about a week ago, just a little itching, and then this… this yellow stuff started coming out of my ear. It’s actually draining, like a little stream, and it smells awful. It’s getting worse, honestly. ”"
pus draining from ear,3,"“It started about a week ago, just a little fullness, you know? And then this sticky stuff… it’s coming out of my ear, a really unpleasant, yellowish discharge. It’s getting worse, honestly, and I’m worried it’s infected.”"
pus draining from ear,4,"“It’s just… this awful feeling in my ear. It started a few days ago, and now there’s this sticky stuff, like… like pus draining from it. It’s really uncomfortable, and it smells bad too.”"
jaundice,1,"“It’s just… my skin, mostly my arms and back, has this really awful yellow tint to it. It’s not constant, but it comes and goes, especially after I’ve eaten. It’s kind of worrying, to be honest.”"
jaundice,2,"“It’s just… my skin. It’s gotten this weird yellow tinge, especially around my eyes. It’s not constant, but it comes and goes, and it’s really bothering me.”"
jaundice,3,"“It’s just… my skin has been turning a really sickly yellow, especially around my eyes. It’s not constant, but it comes and goes, and it’s worrying me.”"
